companyname,enviroment,social,governance,ranking,totalindustries,tscore
Hills Ltd,30,34,67,187,443,44
Mcmillan Shakespeare Ltd,20,59,56,280,996,53
Domino's Pizza Enterprises Ltd,50,78,80,41,322,71
Molinos Rio de la Plata SA,59,79,48,89,375,65
Banco Macro SA,55,63,45,254,996,55
Macmahon Holdings Ltd,46,51,49,232,555,49
Blackmores Ltd,85,92,69,10,375,84
Hansen Technologies Ltd,0,40,15,665,813,23
Grupo Financiero Galicia SA,81,80,41,149,996,66
Premier Investments Ltd,5,45,57,146,266,42
Ferrum SA de Ceramica y Metalurgia,21,21,43,121,157,27
Alumina Ltd,28,45,30,311,555,35
Navigator Global Investments Ltd,0,42,30,268,375,31
Enel Generacion Costanera SA,59,79,64,54,263,67
Banco Bbva Argentina SA,64,72,81,88,996,74
Perpetual Ltd,68,68,82,30,375,75
Seven West Media Ltd,19,50,38,113,256,41
Aurelia Metals Ltd,19,31,50,333,555,31
Grupo Clarin SA,37,55,53,64,256,52
Central Puerto SA,43,37,67,131,263,47
Washington H Soul Pattinson and Company Ltd,4,34,76,31,55,34
Slater & Gordon Ltd,5,30,16,370,443,20
Ovato Ltd,34,36,36,256,443,35
Compania de Transporte de Energia Electrica en Alta Tension Transener SA,33,28,35,204,263,32
Mirgor SACIFIA,5,17,1,104,110,10
Suncorp Group Ltd,80,80,80,11,305,80
Ridley Corporation Ltd,25,36,79,205,375,44
MC Mining Ltd,41,46,40,24,55,42
Sims Ltd,67,59,91,90,555,70
Woolworths Group Ltd,66,89,47,24,151,71
St Barbara Ltd,65,72,53,120,555,65
Telecom Argentina SA,63,75,53,50,263,67
MetroGAS SA,28,38,74,32,57,43
AMP Ltd,83,59,63,61,375,64
REA Group Ltd,44,63,27,323,813,44
Village Roadshow Ltd,35,33,69,150,322,44
YPF SA,50,61,88,68,410,64
Orica Ltd,50,54,51,137,326,52
Empresa Distribuidora y Comercializadora Norte SA,29,41,81,139,263,46
Pro Medicus Ltd,41,30,26,201,329,30
Reject Shop Ltd,20,55,59,55,111,46
Banco Patagonia SA,27,54,38,432,996,44
Distribuidora de Gas Cuyana SA,5,9,30,54,57,13
Iluka Resources Ltd,57,65,88,100,555,68
Celulosa Argentina SA,9,4,4,74,74,6
Morixe Hermanos SACI,0,6,14,367,375,6
Infomedia Ltd,2,48,66,234,813,50
Capex SA,23,11,64,218,263,29
Grupo Concesionario del Oeste SA,22,55,42,63,100,42
Ternium Argentina SA,34,40,64,264,555,44
Mercadolibre Inc,63,77,31,191,813,54
Kimball Electronics Inc,37,82,29,81,232,55
Transportadora de Gas del Sur SA,46,68,62,95,410,59
Focus Minerals Ltd,9,12,40,445,555,18
Australia and New Zealand Banking Group Ltd,65,90,93,6,996,88
Carboclor SA,4,16,31,301,326,15
Iress Ltd,46,68,51,7,34,57
McPherson's Ltd,0,12,39,85,94,16
Longvie SA,40,1,22,59,71,20
Naturgy BAN SA,82,71,92,1,57,80
Metals X Ltd,0,13,23,509,555,11
LendLease Group,89,80,58,27,400,75
Importadora y Exportadora de la Patagonia SA,7,20,14,138,151,15
Pampa Energia SA,46,52,91,81,263,59
Cresud SACIF y A,55,20,72,210,375,44
Sociedad Comercial del Plata SA,0,12,35,360,410,13
Commonwealth Bank of Australia,82,87,90,11,996,87
Senex Energy Ltd,33,34,64,179,410,41
Bionomics Ltd,0,49,25,313,538,27
Camuzzi Gas Pampeana SA,3,15,17,55,57,11
Unipar Indupa SAIC,1,2,56,306,326,14
Agrometal SAI,1,2,49,518,554,15
Collection House Ltd,0,58,72,256,996,55
Brickworks Ltd,43,52,63,38,85,51
Molinos Juan Semino SA,10,8,16,351,375,11
Origin Energy Ltd,54,64,86,59,263,65
SA San Miguel AGICI y F,46,64,67,116,375,60
Elders Ltd,35,45,75,166,375,50
Boldt SA,11,18,15,403,443,15
Pendal Group Ltd,64,61,71,56,375,66
Dycasa SA,15,25,28,196,224,22
Westpac Banking Corp,81,79,65,86,996,74
Bank of Queensland Ltd,69,67,85,91,996,74
Ledesma SAAI,56,45,35,194,375,46
Carlos Casado SA,7,35,44,272,375,29
Magnis Energy Technologies Ltd,5,17,19,485,555,14
Holcim Argentina SA,59,79,63,17,85,67
Transportadora de Gas del Norte SA,35,45,66,102,219,47
Arafura Resources Ltd,4,15,29,477,555,15
Brambles Ltd,64,66,86,13,64,70
Aluar Aluminio Argentino SAIC,20,28,6,422,555,20
Clinuvel Pharmaceuticals Ltd,0,46,42,187,376,34
GUD Holdings Ltd,7,30,50,183,231,27
Jupiter Mines Ltd,5,14,6,527,555,9
Bellevue Gold Ltd,2,25,28,446,555,18
Banco Hipotecario SA,18,83,58,160,996,65
Harvey Norman Holdings Ltd,12,40,56,70,111,37
Omni Bridgeway Ltd,8,37,42,599,996,35
Phoslock Environmental Technologies Ltd,33,19,38,430,558,29
Garovaglio y Zorraquin SA,4,1,11,373,375,4
